"","Name","Project","Score"
"338","project-12972","MP1305",0.24700119272466
"4670","project-7228","IC1102",0.246886317180528
"4729","project-7294","IC1102",0.246371258519162
"2817","project-30933","MP1101",0.246344278653884
"4725","project-7290","MP1401",0.246291465390754
"4292","project-6331","MP1106",0.24600201694367
"126","project-10999","TD1001",0.245986630816245
"2752","project-30681","FP1001",0.245904821208315
"1461","project-23441","ES1308",0.245801865044367
"1557","project-24103","TD1304",0.245598454264143
"3645","project-33987","ES1406",0.245253335607057
"2307","project-28724","MP1207",0.244946413283521
"3772","project-34389","ES1104",0.244707782935581
"4753","project-7464","ES1402",0.24458928165415
"1432","project-23342","IC1002",0.244360909011667
"619","project-16356","ES1308",0.244219391177687
"3819","project-34527","TU1401",0.244116810487749
"3296","project-32746","IC1305",0.243980513473518
"4845","project-7808","MP1104",0.243904447826679
"3793","project-34455","FA1401",0.243791684162172
"2575","project-29975","ES1104",0.24346534833551
"1515","project-23791","BM1406",0.243411139054468
"4920","project-7891","MP1006",0.243320441061984
"1135","project-21646","TU1405",0.24327061677182
"4934","project-7911","MP1006",0.242996922768817
"3656","project-34019","ES1004",0.242887578132169
"3219","project-32487","MP1006",0.242624173553705
"3724","project-34260","MP1004",0.242531447594619
"3208","project-32460","TD1304",0.242509612683916
"581","project-15871","FA1106",0.242450814417005
"1002","project-20418","ES1402",0.242446990732159
"1579","project-24342","TU1204",0.242441659142893
"1445","project-23394","TU1204",0.242441659142893
"2901","project-31251","CM1004",0.242378107133063
"4175","project-6020","CM1104",0.242348652625915
"1132","project-21604","CM1003",0.242004599469442
"3812","project-34501","CM1204",0.241803925318541
"346","project-13072","ES1406",0.24176442388488
"3837","project-34593","TD1001",0.24152252250966
"665","project-16835","TD1103",0.241459476012931
"47","project-10372","ES1005",0.241371723913327
"4091","project-5838","MP1305",0.241163139082672
"3001","project-31556","IS1201",0.241033208661442
"430","project-13995","FP1104",0.241018696566104
"402","project-13666","IC1201",0.240994503734241
"1337","project-22807","MP1305",0.240834335766397
"4693","project-7251","IC1207",0.240796824583261
"3822","project-34548","ES1308",0.240560884476572
"3926","project-34957","FP1206",0.240294757771898
"3860","project-34729","CM1101",0.24022603112756
"2580","project-30008","ES1207",0.240225040317228
"1639","project-24783","MP1203",0.240031941821621
"3834","project-34568","FA1306",0.239872142562085
